organization,transfer_payment_type,transfer_payment_name,exp_1314,exp_1415,exp_1516,exp_1617,exp_1718
Canadian International Development Agency,Grant,"Grants for Partnership with Canadians Programming: Grants for development assistance programs, projects and activities intended to support development for the benefit of developing countries or t",336e3,0,0,0,0
Canadian International Development Agency,Contribution,"Contributions for Partnership with Canadians Programming: Contributions for development assistance programs, projects and activities intended to support development for the benefit of developing",40398247,0,0,0,0
Canadian International Development Agency,Contribution,"Contributions for Bilateral Programming: Contributions in support of development assistance, contributions for cooperation with countries in transition and contributions in support of regional or",95976752,0,0,0,0
Canadian Northern Economic Development Agency,Contribution,Contributions to support the Canada 150 Community Infrastructure Program,0,0,0,6153094,6443516
Canadian Northern Economic Development Agency,Contribution,Contributions to support the Certification and Market Access Program for Seals,0,0,62900,63e3,0
Canadian Northern Economic Development Agency,Contribution,Contributions to support Aboriginal participation in the northern economy,0,8760780,8809125,9646579,18154015
Canadian Northern Economic Development Agency,Contribution,Contributions for promoting regional development in Canada's three territories,18556734,18753999,19856423,19221229,14955410
Canadian Northern Economic Development Agency,Contribution,Contributions under the Aboriginal Business Canada program,635204,0,0,0,0
Canadian Northern Economic Development Agency,Contribution,Contributions for the Community Infrastructure Improvement Fund,3199060,0,0,0,0
Canadian Northern Economic Development Agency,Contribution,Contributions for advancing adult basic education in Canada's territories,6507119,6604803,3562925,3563634,0
Canadian Northern Economic Development Agency,Contribution,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in economic development",7601182,0,0,0,0
Canadian Nuclear Safety Commission,Contribution,"Contributions to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program, and the Canadian Safeguards Support Program",1365752,1733180,1391382,1565837,1931261
Canadian Nuclear Safety Commission,Contribution,Participant Funding Program,282878,60862,170760,233541,598367
Canadian Nuclear Safety Commission,Grant,"Grants to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program",75e3,75e3,74655,68750,74150
Canadian Space Agency,Contribution,"Class Contribution Program to Support Research, Awareness and Learning in Space Science and Technology",1518812,4097804,10501603,11870329,10507215
Canadian Space Agency,Contribution,Contributions to the Canada/European Space Agency Cooperation Agreement,24620924,29762875,27802596,34498797,41766413
Canadian Space Agency,Contribution,Contributions to the Cascade Technology Demonstration/Enhanced-Polar Outflow Probe Small Satellite (CASSIOPE Mission),25e4,0,0,0,0
Canadian Space Agency,Grant,"Class Grant Program to Support Research, Awareness and Learning in Space Science and Technology",6292445,6955536,6263510,9146442,8674322
Correctional Service of Canada,Contribution,Correctional Services of Canada's National Infrastructure Contribution Program,0,2545865,5630805,4660076,2138552
Correctional Service of Canada,Grant,Grant to the University of Saskatchewan for a Forensic Research Centre,12e4,12e4,12e4,12e4,12e4
Correctional Service of Canada,Grant,Grant to the University of Saskatchewan College of Medicine for a psychiatric residency seat,122774,101682,72187,0,0
Correctional Service of Canada,Contribution,Contributions for the purpose of providing services to offenders while engaging and fostering community participation in Correctional Service of Canada's reintegration practices,102938,0,0,0,0
Department of Agriculture and Agri-Food,Contribution,(S) Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Province-Based programs,-1106213,0,0,0,0
Department of Agriculture and Agri-Food,Contribution,(S) Contributions for agricultural risk management — Enhanced Spring Credit Advance program Business Risk Management,-1227300,-589623,-380878,-353075,-354634
Department of Agriculture and Agri-Food,Grant,(S) Class grant payments for the Transitional Industry Support program,-10187,-10610,-2021,-5278,0
Department of Agriculture and Agri-Food,Contribution,(S) Loan guarantees under the Canadian Agricultural Loans Act,-12829,35997,98732,611840,385500
Department of Agriculture and Agri-Food,Grant,(S) Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-163039,-312775,-67376,-84398,-30269
Department of Agriculture and Agri-Food,Grant,(S) Class grant payments for the Farm Income program,-2859,-119871,-95,-20954,3851
Department of Agriculture and Agri-Food,Contribution,(S) Contributions in support of the Assistance to the Pork Industry Initiative,-3685687,-8620021,-53754367,-20782068,-17722056
Department of Agriculture and Agri-Food,Grant,(S) Grants in support of the Grain and Oilseed Payment program,-34421,-50138,-14701,-35345,-5133
Department of Agriculture and Agri-Food,Contribution,(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery,-4850106,3361069,96568,6923281,15135072
Department of Agriculture and Agri-Food,Contribution,(S) Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-436178,-1010915,-389586,-136027,-34752
Department of Agriculture and Agri-Food,Grant,(S) Grant payments for the AgriInvest Kickstart program,-48524,-66331,-36697,-83929,0
Department of Agriculture and Agri-Food,Grant,(S) Grants in support of the Cost of Production Benefit,-6634,-134510,-1929,-23540,2064
Department of Agriculture and Agri-Food,Grant,(S) Grants in support of the Cull Breeding Swine program,0,-1334323,0,0,0
Department of Agriculture and Agri-Food,Contribution,(S) Class contribution payments for the Transitional Industry Support program,0,-1485,0,-24954,0
Department of Agriculture and Agri-Food,Contribution,(S) Contribution payments for the AgriInvest Kickstart program,0,-5563,0,0,0
Department of Agriculture and Agri-Food,Contribution,(S) Contributions to a transition to future risk management programming,0,0,0,-17844,0
Department of Agriculture and Agri-Food,Contribution,Contributions to support Investments in the Dairy Sector,0,0,0,0,30817846
Department of Agriculture and Agri-Food,Contribution,Contribution payments for the control of diseases in the hog industry — Phase 2,511244,652461,0,0,0
Department of Agriculture and Agri-Food,Contribution,Contribution payments for the Canadian Wheat Board Transition Costs program,1436882,1455792,0,0,0
Department of Agriculture and Agri-Food,Grant,Grant payments for the AgriRisk Initiatives program,1e5,1e5,1e5,1e5,1e5
Department of Agriculture and Agri-Food,Grant,(S) Grant payments for the Agricultural Disaster Relief program/AgriRecovery,13382,0,0,0,0
Department of Agriculture and Agri-Food,Contribution,Contributions to support the Canadian Agricultural Adaptation program,15512708,1742371,2667292,2182027,2632964
Department of Agriculture and Agri-Food,Contribution,(S) Contribution payments for the AgriStability program,166509281,162677773,156496870,311527441,34791605
Department of Agriculture and Agri-Food,Contribution,Contributions for the AgriRisk Initiatives program,2246393,4018823,5270710,8284065,14423800
Department of Agriculture and Agri-Food,Contribution,Contribution payments for the AgriCompetitiveness program under Growing Forward 2,2504064,2668742,2858375,3270605,4475395
Department of Agriculture and Agri-Food,Contribution,Contribution payments for the AgriMarketing program under Growing Forward 2,20464938,24308985,28867797,34250294,36531651
Department of Agriculture and Agri-Food,Grant,(S) Grant payments for the AgriInvest program,208528580,149960139,143010095,152279055,147578690
Department of Agriculture and Agri-Food,Contribution,Contributions for Cost-Shared Strategic Initiatives programming in Adaptability and Industry Capacity under Growing Forward 2,23286085,30038615,28955199,27163776,28703415
Department of Agriculture and Agri-Food,Contribution,(S) Contribution payments for the AgriInvest program,24875798,22675845,17915115,24986173,20036e3
Department of Agriculture and Agri-Food,Grant,(S) Grant payments for the AgriStability program,26249991,35141652,-1770468,35373415,26827747
Department of Agriculture and Agri-Food,Grant,Grant payments for the Canadian Wheat Board Transition Costs program,29779845,26802567,55263e3,0,0
Department of Agriculture and Agri-Food,Grant,Agricultural research in universities and other scientific organizations in Canada,45e3,0,0,0,0
Department of Agriculture and Agri-Food,Contribution,Contribution payments for the AgriInnovation program under Growing Forward 2,38703245,63105754,62908011,61656052,57494019
Department of Agriculture and Agri-Food,Contribution,Programming related to the Agricultural Flexibility Fund,38098681,0,0,0,0
Department of Agriculture and Agri-Food,Grant,(S) Canadian Cattlemen's Association Legacy Fund,4453481,2706066,-205473,0,0
Department of Agriculture and Agri-Food,Grant,Grant payments for the Churchill Port Utilisation program,4553244,4585371,2254199,0,0
Department of Agriculture and Agri-Food,Contribution,Contributions in support of the Agricultural Greenhouse Gases program,4808261,4431565,3008614,1857891,5771446
Department of Agriculture and Agri-Food,Contribution,Contributions for Cost-Shared Strategic Initiatives programming in Competitiveness and Market Development under Growing Forward 2,64535129,88267210,78772226,91792901,85596738
Department of Agriculture and Agri-Food,Grant,Grants to foreign recipients for participation in international organizations supporting agriculture,714160,756170,847849,3079475,4852942
Department of Agriculture and Agri-Food,Contribution,(S) Contribution payments for the AgriInsurance program,750830429,610882404,604148826,701496004,651704357
Department of Agriculture and Agri-Food,Contribution,Contributions for Cost-Shared Strategic Initiatives programming in Innovation under Growing Forward 2,76396764,91546837,110033641,100523555,88100021
Department of Agriculture and Agri-Food,Contribution,(S) Payments in connection with the Agricultural Marketing Programs Act,79080584,25996218,22157715,25670879,29030974
Department of Agriculture and Agri-Food,Contribution,Contributions under the Career Focus program — Youth Employment Strategy,657372,684345,800921,2335411,2948147
Department of Canadian Heritage,Grant,Grant to the Rideau Hall Foundation,0,0,0,0,3e6
Department of Canadian Heritage,Contribution,"Contributions to the Task Force for International Cooperation on Holocaust Education, Remembrance, and Research",0,0,0,0,44502
Department of Canadian Heritage,Contribution,Contribution to the Harbourfront Centre,0,0,0,1e6,5e6
Department of Canadian Heritage,Grant,Grants to support the Youth Take Charge Program,0,0,0,2e4,4e4
Department of Canadian Heritage,Grant,Grants in support of the Multiculturalism Program,0,0,653971,2371598,2875638
Department of Canadian Heritage,Contribution,Contributions in support of the Multiculturalism Program,0,0,1917127,5394321,5070801
Department of Canadian Heritage,Contribution,"Task Force for International Cooperation on Holocaust Education, Remembrance and Research",0,0,44250,0,0
Department of Canadian Heritage,Grant,Grants in support of the Canada History Fund,0,14e4,1e3,0,0
Department of Canadian Heritage,Grant,Grants to the Canada Cultural Spaces Fund,1471027,1050990,2371893,4741462,5035512
Department of Canadian Heritage,Grant,Grants to the Canada Book Fund,1708238,1824174,1686995,1674486,1689206
Department of Canadian Heritage,Contribution,Contributions in support of the Celebration and Commemoration Program,10961419,17000545,27918034,82938775,106251876
Department of Canadian Heritage,Grant,Grants to support the Aboriginal peoples' program,100310,111104,0,0,0
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Ontario,105627,105627,105627,105627,105627
Department of Canadian Heritage,Contribution,Contributions to support the Enhancement of Official Languages Program,117582551,116353219,117791291,117322428,116469438
Department of Canadian Heritage,Contribution,Contributions under the Museums Assistance Program,12578276,12494378,12165510,14339998,17461100
Department of Canadian Heritage,Contribution,Contributions to support the Canada Media Fund,134146077,134146077,134146077,134146077,134146077
Department of Canadian Heritage,Contribution,Contributions for the Hosting program,142844052,281941178,30549231,23219e3,19753493
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Quebec,147372,147372,147372,147372,147372
Department of Canadian Heritage,Contribution,Contributions to support the Aboriginal Peoples' Program,15680383,15982334,15561315,16632870,33229626
Department of Canadian Heritage,Contribution,Contributions for the Sport Support Program,150448635,147701601,148895558,146856428,154016129
Department of Canadian Heritage,Contribution,Contributions in support of the Exchanges Canada Initiative,17825216,17689072,17882378,18309465,18368651
Department of Canadian Heritage,Grant,(S) Supplementary Retirement Benefits—Former Lieutenant Governors,189906,188506,202994,184914,192147
Department of Canadian Heritage,Grant,Grants to the Canada Cultural Investment Fund,19038432,19038432,17729525,19266900,18904193
Department of Canadian Heritage,Contribution,Contributions to the Canada Arts Presentation Fund,19550438,19489289,23373182,17512462,18194890
Department of Canadian Heritage,Grant,Grants under the Museums Assistance Program,2530453,2944575,2565649,1892778,2797103
Department of Canadian Heritage,Contribution,Contributions to the Canada Cultural Investment Fund,2929002,2930978,1195605,2704505,3065512
Department of Canadian Heritage,Grant,Grants in support of Innovative Youth Exchange Projects,2e4,2e4,2e4,2e4,2e4
Department of Canadian Heritage,Contribution,Contributions in support of the Court Challenges Program,204678,180120,284576,444e3,228628
Department of Canadian Heritage,Contribution,Contributions in support of the Development of Official-Language Communities Program,210862596,217332230,217629716,221717092,218169576
Department of Canadian Heritage,Contribution,Contributions to the Canada Arts Training Fund,2262e4,2275e4,22719e3,22721e3,22879e3
Department of Canadian Heritage,Contribution,Contributions to the Canada Music Fund,23547884,23557050,23684854,26240731,27289309
Department of Canadian Heritage,Contribution,Contributions to the Canada Cultural Spaces Fund,23608376,23867477,21813455,100064737,99042512
Department of Canadian Heritage,Grant,Grants to the Athlete Assistance Program,26345e3,27100981,2768e4,27998926,32998500
Department of Canadian Heritage,Contribution,"Contribution to Fathers of Confederation Buildings Trust, Charlottetown, PEI",3e6,3e6,0,0,0
Department of Canadian Heritage,Contribution,Contributions to support the Youth Take Charge Program,3636180,186e4,1659410,2155674,2050005
Department of Canadian Heritage,Contribution,Contributions to the Canada Book Fund,34943918,34208972,34865958,35328323,36324934
Department of Canadian Heritage,Contribution,Contributions in support of the Canada History Fund,5115737,4493535,4202342,2668076,4381956
Department of Canadian Heritage,Contribution,Contributions to TV5,5159974,3243670,2745200,2960898,2960900
Department of Canadian Heritage,Contribution,Contributions to the Canada Periodical Fund,5277290,2998607,3208165,4190581,7216609
Department of Canadian Heritage,Grant,Grants in support of the Celebration and Commemoration Program,5560248,5662564,7910072,7096736,16013215
Department of Canadian Heritage,Grant,Grants in support of the Enhancement of Official Languages Program,529654,519359,676060,946693,1170330
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Prince Edward Island,57071,57071,57071,57071,57071
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: New Brunswick,62947,62947,62947,62947,62947
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Nova Scotia,64199,64199,64199,64199,64199
Department of Canadian Heritage,Grant,Grant to the Michaëlle Jean Foundation,654395,497798,328933,220581,265208
Department of Canadian Heritage,Grant,Grants to the Canada Periodical Fund,67847089,67338313,69803639,70094059,67572677
Department of Canadian Heritage,Grant,Grants in support of the Development of Official-Language Communities Program,7130253,6691936,6556111,9557992,12388453
Department of Canadian Heritage,Grant,Grant to TV5 Monde,7519570,6599119,7922730,7177817,7993100
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Saskatchewan,73758,73758,73758,73758,73758
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Manitoba,73762,73762,73762,73762,73762
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Alberta,75940,75940,75940,75940,75940
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Newfoundland and Labrador,77590,77590,77590,77590,77590
Department of Canadian Heritage,Contribution,Contributions in support of the Building Communities through Arts and Heritage Program,8387727,7281841,8287687,7436693,7930436
Department of Canadian Heritage,Grant,"(S) Payments under the Lieutenant Governors Superannuation Act (R.S.C., 1985, c. L-8)",868894,864369,960833,906832,890716
Department of Canadian Heritage,Grant,Grants to the Canada Arts Presentation Fund,9193250,8919926,9516354,13429116,15939912
Department of Canadian Heritage,Grant,Grants in support of the Building Communities through Art and Heritage Program,9406063,7662695,8387986,8845780,9113149
Department of Canadian Heritage,Grant,Grants to the Lieutenant Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: British Columbia,97814,97814,97814,97814,97814
Department of Citizenship and Immigration,Grant,Grant for the Institute for Canadian Citizenship,1058886,777333,0,0,0
Department of Citizenship and Immigration,Contribution,International Organization for Migration,1716884,1871744,2002843,2140178,2178090
Department of Citizenship and Immigration,Grant,Grants in support of the Multiculturalism program,2005634,1792227,1486299,0,0
Department of Citizenship and Immigration,Contribution,Global Assistance to Irregular Migrants,3085575,2294308,67e4,1171290,1001228
Department of Citizenship and Immigration,Grant,Grant for the Canada-Quebec Accord on Immigration,319967e3,340568e3,345059e3,378213e3,490253e3
Department of Citizenship and Immigration,Grant,Grant for Migration policy development,348707,349765,348114,348909,1367097
Department of Citizenship and Immigration,Contribution,Contributions in support of the Multiculturalism Program,4576187,2251965,651492,0,0
Department of Citizenship and Immigration,Contribution,"Task force for International Cooperation on Holocaust Education, Remembrance and Research",45114,42648,0,0,0
Department of Citizenship and Immigration,Contribution,Resettlement Assistance,51163272,64212010,154790378,156173024,95175436
Department of Citizenship and Immigration,Contribution,Settlement Program,572212198,575736724,578437254,649218270,714482559
Department of Employment and Social Development,Grant,(S) Energy Cost Benefit,-2833,-250,-250,0,-125
Department of Employment and Social Development,Contribution,(S) The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-6944621,-5284207,-4938086,-4229434,-3029064
Department of Employment and Social Development,Grant,Support for Post-secondary Education and Skills Training in the Province of Québec,0,0,0,0,25e6
Department of Employment and Social Development,Other Transfer Payment,Payments to provinces and territories for the purpose of Early Learning and Child Care,0,0,0,0,399669691
Department of Employment and Social Development,Contribution,"Contributions to not-for-profit, for-profit, and indigenous organizations, research organizations and institutes, municipal, provincial and territorial governments to help young Canadians gain va",0,0,0,0,4626033
Department of Employment and Social Development,Other Transfer Payment,Workforce Development Agreement,0,0,0,0,56293199
Department of Employment and Social Development,Grant,Grant for the Union Training and Innovation Program,0,0,0,0,767836
Department of Employment and Social Development,Grant,(S) Payments related to the direct financing arrangement under the Apprentice Loans Act,0,0,27292,665615,1350805
Department of Employment and Social Development,Contribution,Labour Funding Program,0,0,499769,499999,479510
Department of Employment and Social Development,Other Transfer Payment,Payments to provinces and territories to deliver employment employment programs and services under the Canada Job Fund and under the Labour Market Agreements,0,5e8,5e8,55e7,5e8
Department of Employment and Social Development,Grant,Pathways to Education Canada Grant,0,6e6,95e5,95e5,95e5
Department of Employment and Social Development,Contribution,"Contributions to voluntary sectors, non-profit organizations, registered charitable organizations, provincial/territorial governments and institutions, [...]to support the development and deliver",1085871,0,0,0,0
Department of Employment and Social Development,Grant,Labour Funding Program,1167982,1476451,1203e3,1202836,1201164
Department of Employment and Social Development,Grant,(S) Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for chil,105899211,104132462,118906530,133343188,164812403
Department of Employment and Social Development,Contribution,"Contributions to organizations to support the development of human resources, economic growth, job creation and retention in official language minority communities",11999780,12e6,11980750,1199e4,12e6
Department of Employment and Social Development,Contribution,"Contributions to not-for-profit, for-profit, and aboriginal organizations, municipal, provincial and territorial governments for adult learning, literacy and essential skills",14692171,12160665,8375806,8457994,13828596
Department of Employment and Social Development,Contribution,"Contributions to not-for-profit organizations, individuals, municipal governments, Band/tribal councils and other Aboriginal organizations, public health and educational institutions, Régies régi",148192686,99184967,104249179,155243991,159082505
Department of Employment and Social Development,Grant,(S) Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security,190281476,230569779,273250623,320180391,338169730
Department of Employment and Social Development,Grant,"(S) Payments of compensation respecting government employees (R.S.C., 1985, c. G-5) and merchant seamen (R.S.C., 1985, c. M-6)",2145,1920,1920,1870,1170
Department of Employment and Social Development,Grant,(S) Universal Child Care Benefit,2740095187,2738493220,8758825034,1976071992,12517048
Department of Employment and Social Development,Other Transfer Payment,Payments to provinces and territories under the Multilateral Framework for Labour Market Agreements for Persons with Disabilities,218251611,222e6,222e6,222e6,222839454
Department of Employment and Social Development,Contribution,"Contributions to provincial/territorial governments, band councils, tribal councils, Aboriginal Skills and Employment Training Strategy agreement holders, municipal governments, not-for-profit or",13076885,13515423,16576408,11823737,30513655
Department of Employment and Social Development,Grant,(S) Payments to the Canadian National Institute for the Blind for a national digital hub to improve library services for persons with a print disability (Budget 2013),3e6,0,0,0,0
Department of Employment and Social Development,Contribution,(S) The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,3571,-751,308,-182,0
Department of Employment and Social Development,Contribution,Payments to non-profit organizations to develop national or provincial/territorial/regional educational and awareness activities to help reduce the incidence of elder abuse and fraud,3814554,4903140,2438380,7559966,7921539
Department of Employment and Social Development,Grant,"Grants to not-for-profit organizations, individuals, municipal governments, Band/tribal councils and other Aboriginal organizations, public health and educational institutions Régies régionales,",304677,0,0,25e4,5e5
Department of Employment and Social Development,Grant,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",31911357696,33535507278,35050472599,36749167282,38409875247
Department of Employment and Social Development,Grant,"(S) Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employees who are either bankrupt or in receivership as well",32131039,22830715,23401319,18971126,16088897
Department of Employment and Social Development,Contribution,Contributions to assist unemployed older workers in communities with ongoing high unemployment and/or affected by downsizing,32167196,20245645,21624348,28165998,0
Department of Employment and Social Development,Grant,New Horizons for Seniors Program,34011689,35263449,34836993,34681954,34991429
Department of Employment and Social Development,Contribution,(S) Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,454428556,524797965,516153688,553280789,678327198
Department of Employment and Social Development,Grant,"(S) Allowance payments (R.S.C., 1985, c. O-9)",528202660,531413924,512566866,530236046,544791268
Department of Employment and Social Development,Other Transfer Payment,Payments to provinces and territories under labour market agreements to enhance the labour market participation among under-represented groups and low-skilled workers,530713e3,0,0,0,0
Department of Employment and Social Development,Contribution,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mo",568384907,518810029,497729310,703952348,786927415
Department of Employment and Social Development,Grant,(S) Pathways to Education Canada upfront multi-year funding to support their community-based early intervention programs which will help disadvantaged youth access post-secondary education in Can,6e6,0,0,0,0
Department of Employment and Social Development,Grant,Grants to non-profit organizations for activities eligible for support through the Social Development Partnerships Program,6515103,5319561,7798333,9348151,6659845
Department of Employment and Social Development,Grant,"Grants to not for profit, for-profit, and aboriginal organizations, municipal, provincial and territorial governments for adult learning, literacy and essential skills",175881,0,0,0,1675240
Department of Employment and Social Development,Contribution,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work or business experi",7478802,7797758,6271827,7944009,16470780
Department of Employment and Social Development,Grant,Federal Income Support for Parents of Murdered or Missing Children,70490,95830,52780,93800,102200
Department of Employment and Social Development,Grant,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,725360274,706839634,713927230,974571302,1322960043
Department of Employment and Social Development,Grant,(S) Canada Education Savings grant payments to Registered Educations Savings Plan trustees on behalf of Registered Educations Savings Plan beneficiaries to encourage Canadians to save for post-se,760199839,781081862,820635620,858638013,899290584
Department of Employment and Social Development,Grant,Named grants for the Organization for Economic Co-operation and Development,79944,90021,81005,99700,386974
Department of Employment and Social Development,Grant,Enabling Accessibility Fund Small Projects Grant,8703012,12453191,13531118,15630468,15649991
Department of Employment and Social Development,Grant,(S) Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security o,83427379,104996129,160169689,179917592,149550677
Department of Employment and Social Development,Grant,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",9372773071,10066152466,9921659952,10922423837,11658538968
Department of Employment and Social Development,Contribution,(S) The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,9756281,9599947,7321936,5470040,7510934
Department of Employment and Social Development,Grant,Apprenticeship Grants,969e5,99402626,100928500,100372e3,88878e3
Department of Finance,Other Transfer Payment,(S) Canadian Millennium Scholarship Foundation,-10823,0,0,0,0
